ID|DESTEK_KATEGORI_ID|HERO_BASLIK|HERO_ALT_BASLIK|HERO_GORSEL_URL|TAM_ACIKLAMA|AKTIF_MI|GUNCELLENME_TARIHI
--|------------------|-----------|---------------|---------------|------------|--------|------------------
1|1|Rezervasyon akışını uçtan uca yönetin|İptal, onay, tarih değişikliği ve misafir bilgilendirmesi için temel rehber.|/assets/img/support/reservations.jpg|<p>Rezervasyon yönetiminde tarih değişikliği, iptal, no-show ve misafir bilgilendirmesi aynı operasyon akışında ele alınmalıdır. Otel ve kullanıcı panelinde görünen durum isimleri birbiriyle tutarlı kalmalıdır.</p>|1|2026-05-31 08:11:04
2|2|Ödeme akışını netleştirin|Ödeme durumu, iade ve tahsilat adımlarını tek merkezden yönetin.|/assets/img/support/payments.jpg|<p>Ödeme süreçlerinde yöntem, durum, iade ve mutabakat adımlarının birlikte izlenmesi gerekir. Şablon ve fatura bağlantıları ödeme kayıtlarıyla senkron tutulmalıdır.</p>|1|2026-05-31 08:11:04
3|3|Hesap ve erişim güvenliği|Profil, doğrulama ve giriş güvenliği için temel adımlar.|/assets/img/support/account.jpg|<p>Hesap güvenliği; e-posta doğrulama, 2FA, oturum izleme ve profil güncellemelerini kapsar. Şüpheli oturumlar mutlaka kayıt altına alınmalıdır.</p>|1|2026-05-31 08:11:04
4|4|Tesis içeriğini profesyonel tutun|Otel özellikleri, konum ve iletişim alanlarının görünürlük etkisi.|/assets/img/support/hotel-content.jpg|<p>Tesis adı, adres, koordinat, olanaklar ve iletişim bilgileri rezervasyon dönüşümünü doğrudan etkiler. Görseller, oda açıklamaları ve konum verisi birlikte güncel tutulmalıdır.</p>|1|2026-05-31 08:11:04
5|5|Kanal bağlantılarını eşleyin|Entegrasyon ve eşleşme hatalarını azaltan temel ilkeler.|/assets/img/support/integration.jpg|<p>Kanal entegrasyonunda oda eşleşmesi, fiyat/stok takvimi ve iptal politikalarının senkron olması gerekir. Hatalar için izleme ve geri dönüş planı tanımlanmalıdır.</p>|1|2026-05-31 08:11:04
6|6|Fiyat ve komisyon yönetimi|Parite, marj ve dönemsel komisyon görünürlüğü.|/assets/img/support/pricing.jpg|<p>Fiyat, komisyon ve indirim kayıtları tek kaynaktan beslenmelidir. Kullanıcı panelindeki görünen fiyat ile partner panelindeki satış fiyatı tutarlı kalmalıdır.</p>|1|2026-05-31 08:11:04
7|7|Operasyonel rezervasyon kontrolü|No-show, müsaitlik ve değişiklik yönetimi rehberi.|/assets/img/support/ops.jpg|<p>Rezervasyon operasyonunda check-in/check-out tarihi, oda adedi ve durum notları net olmalıdır. Her işlem e-posta ve audit izi ile takip edilmelidir.</p>|1|2026-05-31 08:11:04
8|8|Mutabakat sürecini şeffaflaştırın|Fatura, tahsilat ve dönem sonu kapanış adımları.|/assets/img/support/reconciliation.jpg|<p>Mutabakat ekranlarında komisyon, vergi ve tahsilat durumları birlikte izlenmelidir. Fatura yükleme ve onay adımları tarih bazında kayıt altına alınmalıdır.</p>|1|2026-05-31 08:11:04
9|9|İçerik kalitesini yükseltin|Listeleme metinleri ve görseller için kalite standardı.|/assets/img/support/media.jpg|<p>Başlık, açıklama, fotoğraf ve oda özellikleri okunabilir ve güven veren bir standartta olmalıdır. Düşük kaliteli medya dönüşümü olumsuz etkiler.</p>|1|2026-05-31 08:11:04
10|10|Yorum itibarını yönetin|Onaylı misafir yorumu, moderasyon ve yanıt ilkeleri.|/assets/img/support/reviews.jpg|<p>Yorum yönetiminde yalnızca onaylı konaklama sonrası içerik kabul edilmeli, itiraz ve moderasyon kayıtları açık tutulmalıdır.</p>|1|2026-05-31 08:11:04
11|11|Görünürlüğü kontrollü artırın|Kampanya, vitrin ve sıralama etkilerini izleyin.|/assets/img/support/campaigns.jpg|<p>Kampanyalar tarih, fiyat ve stok kurallarıyla birlikte yayınlanmalıdır. Görünürlük satın alımları için başlangıç ve bitiş tarihleri net olmalıdır.</p>|1|2026-05-31 08:11:04
12|12|Güvenlik risklerini azaltın|Sahte rezervasyon, dolandırıcılık ve erişim güvenliği rehberi.|/assets/img/support/security.jpg|<p>IP, cihaz ve işlem logları üzerinden anomali tespiti yapılmalı; şüpheli kayıtlar güvenlik olayları akışına düşmelidir.</p>|1|2026-05-31 08:11:04
13|13|Kurumsal konaklamayı yönetin|Personel atama, toplu oda ve faturalama akışı.|/assets/img/support/company.jpg|<p>Firma rezervasyonlarında oda adedi, tarih aralığı ve personel ataması birlikte ele alınmalıdır. Partner tarafı konaklayacak personeli detayda görebilmelidir.</p>|1|2026-05-31 08:11:04
14|14|Satış dönüşümünü hızlandırın|Satış ekibi teklif, rezervasyon ve takip akışları.|/assets/img/support/sales.jpg|<p>Satış paneli üzerinden oluşturulan talepler kullanıcı ve partner akışlarına eksiksiz bağlanmalıdır. Tekliften rezervasyona dönüşüm loglu ilerlemelidir.</p>|1|2026-05-31 08:11:04
